group,names,scores,logfoldchanges,pvals,pvals_adj
0,LTB,12.014891,,2.9676135783777384e-33,2.9869030666371937e-31
0,IL32,9.671119,,3.999814803992731e-22,2.4398870304355658e-20
0,HINT1,8.4312105,,3.421073817865919e-17,1.7658004090677166e-15
0,LDLRAP1,7.2903023,,3.092599729194811e-13,1.3533485336672073e-11
0,SELL,7.083754,,1.403009597351842e-12,5.648516638938515e-11
0,GIMAP7,6.836166,,8.134071743726953e-12,2.8230838655383373e-10
0,GIMAP5,6.2577653,,3.905326333287304e-10,1.1733465535682602e-08
0,MAL,6.199746,,5.655429435001944e-10,1.5811638128692935e-08
0,ACAP1,5.9703717,,2.3671346618495733e-09,6.188366330263885e-08
0,CD2,5.946136,,2.7454615192760527e-09,7.085402613208582e-08
0,FYB,5.66121,,1.5030933175825083e-08,3.602055771778082e-07
0,SRSF5,5.5184093,,3.420821012115024e-08,8.007107787659934e-07
0,TRAF3IP3,5.4044566,,6.500520516424138e-08,1.4223421521262813e-06
0,TRABD2A,4.4671297,,7.92760418509439e-06,0.00013639544636405987
0,GIMAP4,4.213314,,2.5165092477416103e-05,0.0004032066902154321
0,AQP3,3.9592338,,7.519064436035651e-05,0.0011129321110102768
0,STK17A,3.746839,,0.00017907684002790508,0.0024356870201092764
0,SNHG8,3.5540977,,0.0003792782567659592,0.004925723424966941
0,RP11-291B21.2,3.3624725,,0.0007724778579148536,0.009311364838219163
0,RIC3,3.2912338,,0.0009974897486142913,0.011606629271448371
0,SCGB3A1,3.0088344,,0.002622521282172835,0.027639452047193282
0,CD247,2.8879192,,0.0038779945559461308,0.038972242221394005
0,ATP6V0E2,2.811334,,0.0049336571344790435,0.047747364479357284
0,CISH,2.6736445,,0.0075031926341126,0.06917336395010373
0,PASK,2.6590443,,0.007836266099650074,0.07105587233601621
0,XXbac-BPG299F13.17,2.334959,,0.019545560744395056,0.15865005555833567
0,CCNG1,2.263955,,0.023576868789528197,0.18539155028640728
0,FUS,2.2123108,,0.026945200984756872,0.2039123668508105
0,ITM2A,2.1645734,,0.030420370683729162,0.2243084475690359
